,word,label
0,Copper,2
1,oxide,2
2,nanostructures,3
3,were,0
4,grown,0
5,by,0
6,a,0
7,custom-built,0
8,cold-wall,0
9,CVD,5
10,apparatus,0
11,consisting,0
12,of,0
13,a,0
14,tubular,5
15,quartz,5
16,chamber,5
17,a,0
18,resistively,0
19,heated,5
20,susceptor,5
21,and,0
22,an,0
23,external,0
24,reservoir,5
25,for,0
26,precursor,0
27,vaporization,0
28,adopting,0
29,Cu(hfa)2·TMEDA,1
30,as,0
31,molecular,0
32,source,0
33,On,0
34,the,0
35,basis,0
36,of,0
37,our,0
38,recent,0
39,results,0
40,the,0
41,synthesis,7
42,of,7
43,pure,7
44,Cu2O,2
45,and,0
46,CuO,2
47,nanostructures,3
48,was,0
49,performed,0
50,at,0
51,temperatures,0
52,of,0
53,400,10
54,and,0
55,550,10
56,°C,8
57,deposition,4
58,time,4
59,=,11
60,2,10
61,h,8
62,precursor,0
63,vaporization,6
64,temperature,4
65,=,11
66,70,10
67,°C,8
68,Vapor,3
69,transport,0
70,toward,0
71,the,0
72,deposition,0
73,zone,0
74,was,0
75,performed,0
76,through,0
77,heated,4
78,gas,4
79,lines,4
80,120,10
81,°C,8
82,by,0
83,an,0
84,O2,4
85,flow,4
86,purity,11
87,=,11
88,6,10
89,flow,11
90,rates,11
91,=,11
92,20,10
93,and,0
94,100,10
95,sccm,9
96,for,0
97,Cu2O,2
98,and,0
99,CuO,2
100,respectively,0
101,In,0
102,addition,0
103,an,0
104,auxiliary,0
105,oxygen,4
106,flow,4
107,20,10
108,and,0
109,100,10
110,sccm,9
111,for,0
112,the,0
113,two,0
114,cases,0
115,was,0
116,introduced,0
117,separately,0
118,into,0
119,the,0
120,reaction,0
121,chamber,5
122,after,0
123,passing,0
124,through,0
125,a,0
126,water,5
127,reservoir,5
128,50,10
129,°C,8
130,Total,0
131,pressures,4
132,were,0
133,set,0
134,at,0
135,3,10
136,and,0
137,10,10
138,mbar,8
139,for,0
140,Cu2O,2
141,and,0
142,CuO,2
143,respectively,0
144,with,0
145,corresponding,0
146,estimated,0
147,H2O,4
148,partial,0
149,pressures,4
150,of,0
151,0.3,10
152,and,0
153,1.5,10
154,mbar,8
155,Depositions,6
156,were,0
157,performed,0
158,on,0
159,Ti,4
160,substrates,0
161,99.70%,12
162,Aldrich,0
163,thickness,4
164,=,11
165,0.25,10
166,mm,9
167,size,0
168,=,11
169,8,10
170,×,11
171,8,10
172,mm2,9
174,previously,0
175,subjected,0
176,to,0
177,ultrasonic,4
178,degreasing,6
179,in,0
180,dichloromethane,4
181,rinsing,6
182,in,0
183,isopropanol,4
184,and,0
185,final,0
186,drying,6
187,in,0
188,air,4
189,Subsequent,0
190,TiO2,1
191,dispersion,0
192,was,0
193,performed,0
194,starting,0
195,from,0
196,Ti-(O-iPr)2(dpm)2,1
197,99.99%,12
198,Aldrich,0
199,vaporization,6
200,temperature,4
201,=,11
202,80,10
203,°C,8
204,adopting,0
205,the,0
206,same,0
207,CVD,5
208,equipment,0
209,at,0
210,total,0
211,pressure,4
212,of,0
213,10,10
214,mbar,8
215,and,0
216,substrate,0
217,temperature,4
218,of,0
219,400,10
220,°C,8
221,deposition,6
222,time,4
223,=,11
224,20,10
225,min,8
226,40,10
227,and,0
228,80,10
229,sccm,8
230,flow,11
231,rates,11
232,for,0
233,the,0
234,precursor,0
235,mass-transport,0
236,O2,1
237,and,0
238,the,0
239,auxiliary,0
240,inlet,0
241,O2,4
242,+,0
243,H2O,0
244,respectively,0
245,The,0
246,use,0
247,of,0
248,higher,0
249,temperatures,0
250,was,0
251,discarded,0
252,in,0
253,order,0
254,to,0
255,prevent,0
256,undesired,0
257,modifications,0
258,of,0
259,Cu2O,2
260,and,0
261,CuO,2
262,matrices,0
263,All,0
264,the,0
265,other,0
266,parameters,0
267,were,0
268,set,0
269,as,0
270,for,0
271,the,0
272,CuxO,1
273,deposition,6
274,The,0
275,obtained,0
276,CuxO-TiO2,2
277,composite,3
278,samples,0
279,were,0
280,cooled,6
281,down,0
282,at,0
283,room,4
284,temperature,4
285,before,0
286,contacting,0
287,the,0
288,external,0
289,atmosphere,0
